"run_index","repeat_index","requested_points","requested_threads","requested_distribution","run_divide_conquer","no_bruteforce","exit_code","wall_time_ms","reported_points","reported_threads","reported_distribution","custom_algorithm_serial_ms","custom_algorithm_parallel_ms","custom_algorithm_ms","divide_conquer_serial_ms","divide_conquer_parallel_ms","brute_force_ms","comparison_reduction_brute_over_custom_serial","comparison_reduction_brute_over_custom_parallel","comparison_reduction_brute_over_custom","custom_serial_matches_bruteforce","custom_parallel_matches_bruteforce","custom_matches_bruteforce","divide_serial_matches_bruteforce","divide_parallel_matches_bruteforce","custom_serial_matches_divide_serial","custom_parallel_matches_divide_parallel","custom_matches_divide_serial","custom_matches_divide_parallel","brute_force_disabled","raw_output"
"1","1","100","1","10","True","True","0","12.9484","100","1","10","0.0301","1.4283","1.4283","0.0558","0.0342",,,,,,,,,,"True","True","True","True","True",
"2","1","100","4","10","True","True","0","12.9442","100","4","10","0.0172","1.2776","1.2776","0.0403","0.0317",,,,,,,,,,"True","True","True","True","True",
"3","1","100","8","10","True","True","0","14.4526","100","8","10","0.0256","2.1711","2.1711","0.0633","0.0492",,,,,,,,,,"True","True","True","True","True",
"4","1","100","12","10","True","True","0","15.4523","100","12","10","0.0375","2.9775","2.9775","0.0759","0.054",,,,,,,,,,"True","True","True","True","True",
"5","1","1000","1","10","True","True","0","15.942","1000","1","10","0.2211","1.8299","1.8299","0.7383","0.6331",,,,,,,,,,"True","True","True","True","True",
"6","1","1000","4","10","True","True","0","15.558","1000","4","10","0.2243","1.946","1.946","0.6286","0.6221",,,,,,,,,,"True","True","True","True","True",
"7","1","1000","8","10","True","True","0","14.286","1000","8","10","0.1573","1.9321","1.9321","0.5667","0.4482",,,,,,,,,,"True","True","True","True","True",
"8","1","1000","12","10","True","True","0","15.2875","1000","12","10","0.1955","2.5461","2.5461","0.7182","0.6896",,,,,,,,,,"True","True","True","True","True",
"9","1","10000","1","10","True","True","0","25.252","10000","1","10","2.1338","2.9891","2.9891","5.1736","4.8867",,,,,,,,,,"True","True","True","True","True",
"10","1","10000","4","10","True","True","0","27.1624","10000","4","10","2.2333","3.2472","3.2472","5.4309","4.2235",,,,,,,,,,"True","True","True","True","True",
"11","1","10000","8","10","True","True","0","29.6834","10000","8","10","2.2912","4.1767","4.1767","6.1666","5.288",,,,,,,,,,"True","True","True","True","True",
"12","1","10000","12","10","True","True","0","31.1799","10000","12","10","2.3778","4.4055","4.4055","8.1897","6.1677",,,,,,,,,,"True","True","True","True","True",
"13","1","100000","1","10","True","True","0","251.9228","100000","1","10","29.8377","27.3236","27.3236","71.001","83.8187",,,,,,,,,,"True","True","True","True","True",
"14","1","100000","4","10","True","True","0","196.7225","100000","4","10","30.44","27.148","27.148","72.6293","50.211",,,,,,,,,,"True","True","True","True","True",
"15","1","100000","8","10","True","True","0","178.8617","100000","8","10","25.4874","27.7349","27.7349","67.9254","40.7003",,,,,,,,,,"True","True","True","True","True",
"16","1","100000","12","10","True","True","0","163.0125","100000","12","10","26.0398","26.0052","26.0052","64.8136","32.7761",,,,,,,,,,"True","True","True","True","True",
"17","1","1000000","1","10","True","True","0","2393.7996","1000000","1","10","274.3459","277.1475","277.1475","957.7789","844.1674",,,,,,,,,,"True","True","True","True","True",
"18","1","1000000","4","10","True","True","0","2142.4392","1000000","4","10","272.2303","256.9647","256.9647","1028.4759","548.5441",,,,,,,,,,"True","True","True","True","True",
"19","1","1000000","8","10","True","True","0","2010.4624","1000000","8","10","271.9349","274.5462","274.5462","957.9833","465.9632",,,,,,,,,,"True","True","True","True","True",
"20","1","1000000","12","10","True","True","0","2138.7501","1000000","12","10","262.2225","253.9231","253.9231","1042.5399","538.8609",,,,,,,,,,"True","True","True","True","True",
"21","1","10000000","1","10","True","True","0","35535.1394","10000000","1","10","3220.6556","3412.6885","3412.6885","15375.9149","13208.9981",,,,,,,,,,"True","True","True","True","True",
"22","1","10000000","4","10","True","True","0","27702.9259","10000000","4","10","4239.0564","3454.7333","3454.7333","13077.5757","6548.5082",,,,,,,,,,"True","True","True","True","True",
"23","1","10000000","8","10","True","True","0","25428.4529","10000000","8","10","3428.7486","3382.5479","3382.5479","12340.3024","5882.8953",,,,,,,,,,"True","True","True","True","True",
"24","1","10000000","12","10","True","True","0","26632.3444","10000000","12","10","3198.539","3310.8635","3310.8635","12955.717","6774.6129",,,,,,,,,,"True","True","True","True","True",
